Rk,Tm,Year,#Matching,W,L,,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SH,SF,IBB,HBP,GDP,SB,CS,WPA
166,STL,1992,162,83,79,Ind. Games,6230,5594,631,1464,262,44,94,599,495,996,.262,.323,.375,.698,68,41,49,32,97,208,118,0.6
167,STL,1997,162,73,89,Ind. Games,6212,5524,689,1409,269,39,144,654,543,1191,.255,.324,.396,.720,58,44,54,42,128,164,60,-9.8
168,SFG,2007,162,71,91,Ind. Games,6213,5538,683,1407,267,37,131,641,532,907,.254,.322,.387,.708,67,36,74,39,142,119,33,-11.1
169,SFG,2012,162,94,68,Ind. Games,6200,5558,718,1495,287,57,103,675,483,1097,.269,.327,.397,.724,69,61,44,29,114,118,39,9.1
170,SFG,1985,162,62,100,Ind. Games,6063,5419,556,1263,217,31,115,517,488,962,.233,.300,.348,.648,94,25,53,37,122,99,55,-11.1
171,SFG,1990,162,85,77,Ind. Games,6216,5573,719,1459,221,35,152,681,488,973,.262,.323,.396,.718,76,45,61,33,83,109,56,4.8
172,SFG,2000,162,97,65,Ind. Games,6418,5519,925,1535,304,44,226,889,709,1032,.278,.362,.472,.834,73,66,60,51,131,79,39,11.9
173,SFG,2005,162,75,87,Ind. Games,6077,5462,649,1427,299,26,128,617,431,901,.261,.319,.396,.714,91,44,26,49,147,71,35,-5.0
174,SFG,2010,162,92,70,Ind. Games,6143,5488,697,1411,284,30,162,660,487,1099,.257,.321,.408,.729,76,41,53,50,158,55,32,-2.3
175,SFG,1983,162,79,83,Ind. Games,6128,5369,687,1324,206,30,142,638,619,990,.247,.325,.375,.701,64,46,63,28,129,140,78,3.8
176,SFG,2015,162,84,78,Ind. Games,6153,5565,696,1486,288,39,136,663,457,1159,.267,.326,.406,.732,45,37,30,49,142,93,36,-0.5
177,SFG,1988,162,83,79,Ind. Games,6178,5450,670,1353,227,44,113,629,550,1023,.248,.318,.368,.686,91,51,71,33,96,121,78,2.2
178,SFG,1993,162,103,59,Ind. Games,6271,5557,808,1534,269,33,168,759,516,930,.276,.340,.427,.767,102,50,88,46,121,120,65,8.0
179,SFG,2008,162,72,90,Ind. Games,6145,5543,640,1452,311,37,94,606,452,1044,.262,.321,.382,.703,57,44,45,48,139,108,46,-8.3
180,SFG,2013,162,76,86,Ind. Games,6168,5552,629,1446,280,35,107,596,469,1078,.260,.320,.381,.702,66,42,40,39,131,67,26,3.1
181,SFG,1986,162,83,79,Ind. Games,6212,5501,698,1394,269,29,114,637,536,1087,.253,.322,.375,.697,101,34,86,37,83,148,93,0.7
182,SFG,2017,162,64,98,Ind. Games,6137,5551,639,1382,290,28,128,612,467,1204,.249,.309,.380,.689,31,52,37,36,136,76,34,-13.4
183,SFG,1991,162,75,87,Ind. Games,6098,5463,649,1345,215,48,141,605,471,973,.246,.309,.381,.690,90,33,59,40,91,95,57,-2.5
184,SFG,1996,162,68,94,Ind. Games,6316,5533,752,1400,245,21,153,707,615,1189,.253,.331,.388,.719,77,43,62,48,108,113,53,-2.5
185,SFG,2001,162,90,72,Ind. Games,6408,5612,799,1493,304,40,235,775,625,1090,.266,.342,.460,.802,67,54,79,50,108,57,42,3.8
186,SFG,2011,162,86,76,Ind. Games,6091,5486,570,1327,282,24,121,534,448,1122,.242,.303,.368,.671,62,43,47,52,117,85,51,-5.5
187,SFG,1984,162,66,96,Ind. Games,6293,5650,682,1499,229,26,112,646,528,980,.265,.328,.375,.702,51,44,44,17,141,126,76,1.9
188,SFG,2016,162,87,75,Ind. Games,6271,5565,715,1437,280,54,130,675,572,1107,.258,.329,.398,.728,42,46,43,42,120,79,36,-3.3
189,SFG,1989,162,92,70,Ind. Games,6139,5469,699,1365,241,52,141,647,508,1071,.250,.316,.390,.706,82,39,83,40,84,87,54,7.7
190,SFG,1999,162,86,76,Ind. Games,6449,5563,872,1507,307,18,188,828,696,1028,.271,.356,.434,.790,87,42,40,60,129,109,56,5.1
191,SFG,2004,162,91,71,Ind. Games,6466,5546,850,1500,314,33,183,805,705,874,.270,.357,.438,.795,92,51,153,72,142,43,23,12.3
192,SFG,2009,162,88,74,Ind. Games,6057,5493,657,1411,275,43,122,612,392,1158,.257,.309,.389,.699,67,55,41,50,115,78,28,-6.7
193,SFG,1982,162,87,75,Ind. Games,6227,5499,673,1393,213,30,133,631,607,915,.253,.327,.376,.703,59,45,70,17,131,130,56,7.1
194,SFG,2014,162,88,74,Ind. Games,6087,5523,665,1407,257,42,132,636,427,1245,.255,.311,.388,.699,45,49,37,43,113,56,27,5.5
195,SFG,1987,162,90,72,Ind. Games,6250,5608,783,1458,274,32,205,731,511,1094,.260,.324,.430,.754,55,35,73,39,99,126,97,7.0
196,SFG,1992,162,72,90,Ind. Games,6070,5456,574,1330,220,36,105,532,435,1067,.244,.302,.355,.657,101,39,53,39,111,112,64,-7.5
197,SFG,1997,162,90,72,Ind. Games,6296,5485,784,1415,266,37,172,746,642,1120,.258,.337,.414,.751,64,59,72,46,111,121,49,7.7
198,SFG,2002,162,95,66,Ind. Games,6298,5497,783,1465,300,35,198,751,616,961,.267,.344,.442,.786,68,52,103,65,136,74,21,6.1
199,SEA,2012,162,75,87,Ind. Games,6057,5494,619,1285,241,27,149,584,466,1259,.234,.296,.369,.665,32,35,21,30,95,104,35,-10.6
200,SEA,1985,162,74,88,Ind. Games,6185,5521,719,1410,277,38,171,686,564,942,.255,.326,.412,.738,28,41,36,31,146,94,35,-4.3
201,SEA,1990,162,77,85,Ind. Games,6207,5474,640,1419,251,26,107,610,596,749,.259,.333,.373,.707,41,54,41,40,140,105,51,-4.6
202,SEA,2017,162,78,84,Ind. Games,6166,5551,750,1436,281,17,200,714,487,1267,.259,.325,.424,.749,14,35,31,78,131,89,35,0.6
203,SEA,2000,162,91,71,Ind. Games,6444,5497,907,1481,300,26,198,869,775,1073,.269,.361,.442,.803,63,61,34,48,129,122,56,0.9
204,SEA,2005,162,69,93,Ind. Games,6095,5507,699,1408,289,34,130,657,466,986,.256,.317,.391,.709,37,37,50,48,115,102,47,-6.7
205,SEA,2010,162,61,101,Ind. Games,5989,5409,513,1274,227,16,101,485,459,1184,.236,.298,.339,.637,42,40,33,39,110,142,39,-18.3
206,SEA,2015,162,76,86,Ind. Games,6131,5544,656,1379,262,22,198,624,478,1336,.249,.311,.411,.722,38,35,31,36,123,69,45,-4.4
207,SEA,1983,162,60,102,Ind. Games,5907,5336,558,1280,247,31,111,536,460,840,.240,.301,.360,.661,40,45,31,24,113,144,80,-19.4
208,SEA,1993,162,82,80,Ind. Games,6288,5494,734,1429,272,24,161,681,624,901,.260,.339,.406,.745,63,51,73,56,132,91,68,-3.6
209,SEA,2003,162,93,69,Ind. Games,6281,5561,795,1509,290,33,139,759,586,989,.271,.344,.410,.754,35,46,34,53,130,108,37,2.3
210,SEA,2008,162,61,101,Ind. Games,6176,5643,671,1498,285,20,124,631,417,890,.265,.318,.389,.707,36,42,44,38,137,90,32,-9.3
211,SEA,2013,162,71,91,Ind. Games,6172,5558,624,1318,249,17,188,597,529,1353,.237,.306,.390,.695,26,28,21,31,122,49,23,-5.6
212,SEA,1986,162,67,95,Ind. Games,6187,5498,718,1392,243,41,158,681,572,1148,.253,.326,.399,.724,52,29,38,34,125,93,76,-3.7
213,SEA,1991,162,83,79,Ind. Games,6237,5494,702,1400,268,29,126,665,588,811,.255,.328,.383,.711,55,62,57,37,139,97,44,-3.7
214,SEA,2001,162,116,46,Ind. Games,6474,5680,927,1637,310,38,169,881,614,989,.288,.360,.445,.805,48,70,54,62,112,174,42,17.0
215,SEA,2006,162,78,84,Ind. Games,6213,5670,756,1540,266,42,172,703,404,974,.272,.325,.424,.749,38,38,49,63,117,106,37,-6.5
216,SEA,2011,162,67,95,Ind. Games,5972,5421,556,1263,253,22,109,534,435,1280,.233,.292,.348,.640,38,41,33,37,82,125,40,-12.6
